#FORMAT=WebAnno TSV 3.3


#Text=How to Analyze and Tune MySQL Queries for Better Performance - MySQL Tutorial - YouTubeAboutPressCopyrightContact usCreatorsAdvertiseDevelopersTermsPrivacyPolicy & SafetyHow YouTube worksTest new features© 2021 Google LLC
1-1	0-3	How	
1-2	4-6	to	
1-3	7-14	Analyze	
1-4	15-18	and	
1-5	19-23	Tune	
1-6	24-29	MySQL	
1-7	30-37	Queries	
1-8	38-41	for	
1-9	42-48	Better	
1-10	49-60	Performance	
1-11	61-62	-	
1-12	63-68	MySQL	
1-13	69-77	Tutorial	
1-14	78-79	-	
1-15	80-113	YouTubeAboutPressCopyrightContact	
1-16	114-161	usCreatorsAdvertiseDevelopersTermsPrivacyPolicy	
1-17	162-163	&	
1-18	164-173	SafetyHow	
1-19	174-181	YouTube	
1-20	182-191	worksTest	
1-21	192-195	new	
1-22	196-204	features	
1-23	204-205	©	
1-24	206-210	2021	
1-25	211-217	Google	
1-26	218-221	LLC	
