#FORMAT=WebAnno TSV 3.3


#Text=Progress® DataDirect®
#Text=<!
1-1	0-8	Progress	
1-2	8-9	®	
1-3	10-20	DataDirect	
1-4	20-21	®	
1-5	22-23	<	
1-6	23-24	!	

#Text=[endif]-->
#Text=Progress DataDirect Connect Series for ODBC: Version 7.1.6
#Text=Panel Progress
#Text=Table of Contents
#Text=Index
#Text=odbc
2-1	24-25	[	
2-2	25-30	endif	
2-3	30-31	]	
2-4	31-32	-	
2-5	32-33	-	
2-6	33-34	>	
2-7	35-43	Progress	
2-8	44-54	DataDirect	
2-9	55-62	Connect	
2-10	63-69	Series	
2-11	70-73	for	
2-12	74-78	ODBC	
2-13	78-79	:	
2-14	80-87	Version	
2-15	88-93	7.1.6	
2-16	94-99	Panel	
2-17	100-108	Progress	
2-18	109-114	Table	
2-19	115-117	of	
2-20	118-126	Contents	
2-21	127-132	Index	
2-22	133-137	odbc	
